id,user_id,sum_amount_usd,count_amount_usd,transactions_2018,transactions_2019_May,last_transaction_month,months,transaction_april,transaction_may
0,user_0,13684,389,254,135,May-19,0,1,1
1,user_1,6104,129,113,16,Feb-19,3,0,0
2,user_2,1335,96,68,28,Apr-19,1,1,0
3,user_3,16578,268,266,2,Mar-19,2,0,0
4,user_4,9127,47,43,4,Jan-19,4,0,0
5,user_5,1632,51,44,7,May-19,0,1,1
6,user_6,11,2,2,0,Dec-18,5,0,0
7,user_7,1074,7,6,1,Jan-19,4,0,0
8,user_8,856,51,51,0,Dec-18,5,0,0
9,user_9,13909,79,66,13,May-19,0,0,1
10,user_10,52150,1053,721,332,May-19,0,1,1
11,user_11,1468,7,7,0,Feb-18,15,0,0
12,user_12,37106,499,491,8,May-19,0,1,1
13,user_13,1433,71,67,4,Mar-19,2,0,0
14,user_14,10745,31,4,27,May-19,0,1,1
15,user_15,21463,206,192,14,Mar-19,2,0,0
16,user_16,2601,121,69,52,May-19,0,0,1
17,user_17,19873,46,43,3,Feb-19,3,0,0
18,user_18,9971,20,20,0,Mar-18,14,0,0
19,user_19,41409,424,304,120,May-19,0,1,1
20,user_20,23401,404,216,188,May-19,0,1,1
21,user_21,12272,90,37,53,Apr-19,1,1,0
22,user_22,20913,135,110,25,Apr-19,1,1,0
23,user_23,19712,37,37,0,Sep-18,8,0,0
24,user_24,11,1,0,1,Apr-19,1,1,0
25,user_25,2791,21,18,3,Mar-19,2,0,0
26,user_26,6637,194,193,1,Apr-19,1,1,0
27,user_27,17481,334,333,1,Jan-19,4,0,0
28,user_28,331,17,14,3,Apr-19,1,1,0
29,user_29,7951,225,181,44,May-19,0,1,1
30,user_30,13211,697,355,342,May-19,0,1,1
31,user_31,14376,57,57,0,Nov-18,6,0,0
32,user_32,151,3,0,3,Feb-19,3,0,0
33,user_33,404,20,20,0,Jun-18,11,0,0
34,user_34,2133,141,101,40,Apr-19,1,1,0
35,user_35,1715,114,80,34,May-19,0,1,1
36,user_36,68105,220,177,43,May-19,0,1,1
37,user_37,20763,633,631,2,Mar-19,2,0,0
38,user_38,11625,367,367,0,Nov-18,6,0,0
39,user_39,2648,65,57,8,May-19,0,1,1
40,user_40,955,35,35,0,Aug-18,9,0,0
41,user_41,471,32,13,19,May-19,0,0,1
42,user_42,5678,119,119,0,Nov-18,6,0,0
43,user_43,754,50,39,11,May-19,0,1,1
44,user_44,189,4,4,0,Feb-18,15,0,0
45,user_45,12661,147,147,0,Jul-18,10,0,0
46,user_46,1053,23,23,0,Mar-18,14,0,0
47,user_47,27661,371,215,156,May-19,0,1,1
48,user_48,4961,79,0,79,May-19,0,1,1
49,user_49,314,11,6,5,Mar-19,2,0,0
50,user_50,20,5,5,0,Mar-18,14,0,0
51,user_51,2927,120,68,52,May-19,0,1,1
